Lookup,Country,"RowIndex
(Caution: Do not change RowIndex number)",House,State_Region,SR_PCode,TS_PCode,Township,MIMU_Constituency_PCode,Constituency_Name,Constituency_Recode,RepEthnicGroup,Voters_TotalEligibleVoters,Voters_TicketVotes,Voters_EarlyVotes,Voters_Total,Voters_Percent,InvalidTicket_TotalInvalid,InvalidTicket_TotalLoss,InvalidTicket_TOTAL,FullName,Gender,PartyID,Party,ValidVote_Constituency_Total_Ticket,ValidVote_Constituency_Total_EarlyVote,ValidVote_Constituency_TOTAL,ValidVote_Candidate_Total_Ticket,ValidVote_Candidate_Total_EarlyVote,ValidVote_Candidate_TOTAL,ValidVote_PercentOfValid,Is_WinningCandidate,DataSource,PartyID,Party,Gender,DOB,Age,Occupation_Recoded,Occupation_Recoded1,Occupation_Recoded2,Education,Education_Recoded,Education_Highest,edhi_recode,Nationality,Religion,Ward_Village,PlaceOfResidence,Father,Father_Nationality,Father_Religion,Mother_Name,Mother_Nationality,Mother_Religion
State and Region HluttawKachin StateDaw Jar Bauk21FALSE,Myanmar,3637,State and Region Hluttaw,Kachin ,MMR001,MMR001013,Mansi,,,S/R_Kachin_Mansi (1),,18859,14745,377,15122,0.8018,871,13,884,Daw Jar Bauk,F,21,The Kachin National Congress for Democracy,13874,364,14238,269,6,275,0.0193,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Kyaw Tint3FALSE,Myanmar,3636,State and Region Hluttaw,Kachin ,MMR001,MMR001007,Mohnyin,,,S/R_Kachin_Mohnyin (1),,74860,44630,5676,50306,0.672,1457,534,1991,U Kyaw Tint,M,3,National Unity Party (NUP),43621,4694,48315,689,87,776,0.0161,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Khaing Htoo Min23FALSE,Myanmar,3635,State and Region Hluttaw,Kachin ,MMR001,MMR001004,Tanai,,,S/R_Kachin_Tanai (2),,14888,7553,900,8453,0.5678,586,2,588,U Khaing Htoo Min,M,23,Kachin Democratic Party,7054,811,7865,93,12,105,0.0134,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateDaw Jar Khaw23FALSE,Myanmar,3633,State and Region Hluttaw,Kachin ,MMR001,MMR001003,Injangyang,,,S/R_Kachin_Injangyang (1),,707,504,100,604,0.8543,72,0,72,Daw Jar Khaw,F,23,Kachin Democratic Party,433,99,532,21,1,22,0.0414,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Kaung Sai La@U Saing La2FALSE,Myanmar,3498,State and Region Hluttaw,Kachin ,MMR001,MMR001004,Tanai,,,S/R_Kachin_Tanai (2),,14888,7553,900,8453,0.5678,586,2,588,U Kaung Sai La@U Saing La,M,2,Union Solidarity and Development Party (USDP),7054,811,7865,1529,329,1858,0.2362,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU La Kha Yan Aung Kham23FALSE,Myanmar,3520,State and Region Hluttaw,Kachin ,MMR001,MMR001014,Puta-O,,,S/R_Kachin_Puta-O (2),,19262,12810,1871,14681,0.7622,1250,309,1559,U La Kha Yan Aung Kham,M,23,Kachin Democratic Party,12030,1092,13122,341,12,353,0.0269,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateDaw Jar Sai Khaw12TRUE,Myanmar,3471,State and Region Hluttaw,Kachin ,MMR001,MMR001003,Injangyang,,,S/R_Kachin_Injangyang (2),,701,430,4,434,0.6191,48,0,48,Daw Jar Sai Khaw,F,12,Kachin State Democracy Party,383,3,386,203,0,203,0.5259,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,12,Kachin State Democracy Party,F,24281,50,Business Owner,Not Identifiable,0,B.A (Eng),B.A,Bachelor,Bachelor,Kachin,Christian,Sitarpu Ward,Urban,U Mayan Bayan Sai,Kachin,Christian,Daw Na Phawt Kawt Mai,Kachin,Christian
State and Region HluttawKachin StateU Sai Maung Shwe8FALSE,Myanmar,3527,State and Region Hluttaw,Kachin ,MMR001,MMR001013,Mansi,,,S/R_Kachin_Mansi (2),,13481,8528,148,8676,0.6436,542,0,542,U Sai Maung Shwe,M,8,Shan Nationalities Democratic Party (SNDP),7989,145,8134,854,26,880,0.1082,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Sin War La21FALSE,Myanmar,3592,State and Region Hluttaw,Kachin ,MMR001,MMR001008,Mogaung,,,S/R_Kachin_Mogaung (1),,42692,22639,2532,25171,0.5896,1283,7,1290,U Sin War La,M,21,The Kachin National Congress for Democracy,21349,2532,23881,1097,57,1154,0.0483,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateDaw Chan Khaw Sar7FALSE,Myanmar,3492,State and Region Hluttaw,Kachin ,MMR001,MMR001017,Nawngmun,,,S/R_Kachin_Nawngmun (2),,1968,1615,143,1758,0.8933,86,0,86,Daw Chan Khaw Sar,F,7,National Democratic Force (NDF),1572,100,1672,56,1,57,0.0341,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Zal Zaung21FALSE,Myanmar,3553,State and Region Hluttaw,Kachin ,MMR001,MMR001002,Waingmaw,,,S/R_Kachin_Waingmaw (2),,31085,19578,1299,20877,0.6716,579,0,579,U Zal Zaung,M,21,The Kachin National Congress for Democracy,19048,1250,20298,1516,81,1597,0.0787,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Tun Kyaw Oo7FALSE,Myanmar,3493,State and Region Hluttaw,Kachin ,MMR001,MMR001008,Mogaung,,,S/R_Kachin_Mogaung (2),,44598,27768,1959,29727,0.6666,917,21,938,U Tun Kyaw Oo,M,7,National Democratic Force (NDF),26830,1959,28789,874,34,908,0.0315,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Za Khone Yein Saung56TRUE,Myanmar,3490,State and Region Hluttaw,Kachin ,MMR001,MMR001005,Chipwi,,,S/R_Kachin_Chipwi (2),,5275,3579,704,4283,0.8119,464,0,464,U Za Khone Yein Saung,M,56,Unity and Democracy Party of Kachin State (UDPKS),3347,472,3819,1834,281,2115,0.5538,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,56,Unity and Democracy Party of Kachin State (UDPKS),M,29996,34,Member of Parliament (Kachin State),Politician,0,B.A(Phsy),B.A,Bachelor,Bachelor,La Chit,Christian,"Hpi Maw Area, Htan Dung Village Track, Chihpwi Township. ",Rural,U Za Khung Taint Yain,La Chit,Christian,Daw Shi Kyan Khaw Nem,La Chit,Christian
State and Region HluttawKachin StateU D Khaung Daung34FALSE,Myanmar,3519,State and Region Hluttaw,Kachin ,MMR001,MMR001002,Waingmaw,,,S/R_Kachin_Waingmaw (2),,31085,19578,1299,20877,0.6716,579,0,579,U D Khaung Daung,M,34,Lhaovo National Unity and Development Party (LNUDP),19048,1250,20298,1073,33,1106,0.0545,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Yein Saung23FALSE,Myanmar,3489,State and Region Hluttaw,Kachin ,MMR001,MMR001005,Chipwi,,,S/R_Kachin_Chipwi (2),,5275,3579,704,4283,0.8119,464,0,464,U Yein Saung,M,23,Kachin Democratic Party,3347,472,3819,83,23,106,0.0278,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateDaw Nan Mya Khin12FALSE,Myanmar,3521,State and Region Hluttaw,Kachin ,MMR001,MMR001011,Shwegu,,,S/R_Kachin_Shwegu (1),,27039,18883,1447,20330,0.7519,733,0,733,Daw Nan Mya Khin,F,12,Kachin State Democracy Party,18516,1081,19597,683,18,701,0.0358,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Tin Aye1TRUE,Myanmar,3522,State and Region Hluttaw,Kachin ,MMR001,MMR001007,Mohnyin,,,S/R_Kachin_Mohnyin (1),,74860,44630,5676,50306,0.672,1457,534,1991,U Tin Aye,M,1,National League for Democracy (NLD),43621,4694,48315,26360,1872,28232,0.5843,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,1,National League for Democracy (NLD),M,19180,64,Livestock,Own business,0,Diploma in Agriculture(second year),Diploma only,Some University,Some University,Shan/Bamar,Buddhist,Aung Thapyay Ward,Urban,U Kyaw Htin,Shan/Bamar,Buddhism,Daw Saw Mya,Shan/Bamar,Buddhism
State and Region HluttawKachin StateU L Zaw June21FALSE,Myanmar,3523,State and Region Hluttaw,Kachin ,MMR001,MMR001001,Myitkyina,,,S/R_Kachin_Myitkyina (1),,88757,54327,5530,59857,0.6744,4085,2824,6909,U L Zaw June,M,21,The Kachin National Congress for Democracy,48248,4700,52948,1220,87,1307,0.0247,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Kwan G Zaw Yar23FALSE,Myanmar,3524,State and Region Hluttaw,Kachin ,MMR001,MMR001004,Tanai,,,S/R_Kachin_Tanai (1),,12424,5425,1387,6812,0.5483,153,2,155,U Kwan G Zaw Yar,M,23,Kachin Democratic Party,5347,1310,6657,219,20,239,0.0359,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Sai Naw Kham12FALSE,Myanmar,3525,State and Region Hluttaw,Kachin ,MMR001,MMR001018,Khaunglanhpu,,,S/R_Kachin_Khaunglanpu (2),,3858,2675,287,2962,0.7678,208,11,219,U Sai Naw Kham,M,12,Kachin State Democracy Party,2565,178,2743,100,3,103,0.0376,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Paung Kham8FALSE,Myanmar,3526,State and Region Hluttaw,Kachin ,MMR001,MMR001010,Bhamo,,,S/R_Kachin_Bhamo (1),,46010,31147,3010,34157,0.7424,2273,20,2293,U Paung Kham,M,8,Shan Nationalities Democratic Party (SNDP),29156,2708,31864,1528,70,1598,0.0502,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Zaw Moe Naw12TRUE,Myanmar,3494,State and Region Hluttaw,Kachin ,MMR001,MMR001003,Injangyang,,,S/R_Kachin_Injangyang (1),,707,504,100,604,0.8543,72,0,72,U Zaw Moe Naw,M,12,Kachin State Democracy Party,433,99,532,209,4,213,0.4004,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,12,Kachin State Democracy Party,M,16696,71,"Livestock (CP), Garden",Own business,0,Grade (11),B.E.H.S,B.E.H.S,High School,Kachin,Christian,"No (5) Maliyan Area, Lalkone Ward",Urban,U Gwan Jar Naw (pass way),Kachin,Christian,Daw Ma Ram Bauk,Kachin,Christian
State and Region HluttawKachin StateU Zeyar Win8FALSE,Myanmar,3482,State and Region Hluttaw,Kachin ,MMR001,MMR001010,Bhamo,,,S/R_Kachin_Bhamo (2),,38219,27248,885,28133,0.7361,1507,34,1541,U Zeyar Win,M,8,Shan Nationalities Democratic Party (SNDP),25709,883,26592,2218,59,2277,0.0856,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateDaw Soe Soe Myint15FALSE,Myanmar,3474,State and Region Hluttaw,Kachin ,MMR001,MMR001010,Bhamo,,,S/R_Kachin_Bhamo (1),,46010,31147,3010,34157,0.7424,2273,20,2293,Daw Soe Soe Myint,F,15,Tai-Leng Nationalities Development Party (T.N.D.P),29156,2708,31864,970,51,1021,0.032,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Tun Tin1TRUE,Myanmar,3475,State and Region Hluttaw,Kachin ,MMR001,MMR001010,Bhamo,,,S/R_Kachin_Bhamo (2),,38219,27248,885,28133,0.7361,1507,34,1541,U Tun Tin,M,1,National League for Democracy (NLD),25709,883,26592,11346,338,11684,0.4394,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,1,National League for Democracy (NLD),M,16399,72,Education(Retire),Retire government staff,0,B.Sc (Phys) DipEd,B.Sc with diploma,Bachelor,Bachelor,Bamar,Buddhist,Khun Thar Ward,Urban,U Ba Din,Bamar,Buddhism,Daw Hla Tin,Bamar,Buddhism
State and Region HluttawKachin StateU Chan Tan Khin2TRUE,Myanmar,3476,State and Region Hluttaw,Kachin ,MMR001,MMR001017,Nawngmun,,,S/R_Kachin_Nawngmun (1),,2122,1582,169,1751,0.8252,40,0,40,U Chan Tan Khin,M,2,Union Solidarity and Development Party (USDP),1542,169,1711,890,117,1007,0.5885,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,2,Union Solidarity and Development Party (USDP),M,28676,38,"Member of State Parliament (Nong Mong No (1) Constituency), Officer (retire) (Communication) ",Politician,0,LL.B? DLD? Dip in Administration of Youth Education (PRC),"LL.B, Dip",Bachelor,Bachelor,Rawang,Christian,-,Not Available,U Chan Tan Hpung Sar,Rawang,Christian,Daw Nan Htu,Jing Hpaw,Christian
State and Region HluttawKachin StateU Shwe Min@Si Phar Lar Lu26FALSE,Myanmar,3477,State and Region Hluttaw,Kachin ,MMR001,MMR001001,Myitkyina,,,S/R_Kachin_Myitkyina (2),,89822,55893,6149,62042,0.6907,3526,3819,7345,U Shwe Min@Si Phar Lar Lu,M,26,Lisu National Development Party (L.N.D.P),51592,3105,54697,1483,2,1485,0.0271,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Zaw June21FALSE,Myanmar,3478,State and Region Hluttaw,Kachin ,MMR001,MMR001011,Shwegu,,,S/R_Kachin_Shwegu (1),,27039,18883,1447,20330,0.7519,733,0,733,U Zaw June,M,21,The Kachin National Congress for Democracy,18516,1081,19597,613,16,629,0.0321,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Jarli Yet5FALSE,Myanmar,3479,State and Region Hluttaw,Kachin ,MMR001,MMR001014,Puta-O,,,S/R_Kachin_Puta-O (2),,19262,12810,1871,14681,0.7622,1250,309,1559,U Jarli Yet,M,5,Individual,12030,1092,13122,2441,190,2631,0.2005,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU La Saing1TRUE,Myanmar,3491,State and Region Hluttaw,Kachin ,MMR001,MMR001009,Hpakant,,,S/R_Kachin_Hpakant (2),,56776,36165,1302,37467,0.6599,1563,36,1599,U La Saing,M,1,National League for Democracy (NLD),35365,503,35868,22790,224,23014,0.6416,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,1,National League for Democracy (NLD),M,26733,43,Small Trading Business,Own business,0,Grade (11),B.E.H.S,B.E.H.S,High School,Jing Hpaw,Christian,Aye Mya Tharyar Ward,Urban,U Da Shi Naw Ja,Jing Hpaw,Christian,Daw Kwan Nan Lu,Jing Hpaw,Christian
State and Region HluttawKachin StateU Phaw Lay Zar7FALSE,Myanmar,3481,State and Region Hluttaw,Kachin ,MMR001,MMR001004,Tanai,,,S/R_Kachin_Tanai (2),,14888,7553,900,8453,0.5678,586,2,588,U Phaw Lay Zar,M,7,National Democratic Force (NDF),7054,811,7865,224,19,243,0.0309,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateDr. Than Tun Swe39FALSE,Myanmar,3634,State and Region Hluttaw,Kachin ,MMR001,MMR001009,Hpakant,,,S/R_Kachin_Hpakant (2),,56776,36165,1302,37467,0.6599,1563,36,1599,Dr. Than Tun Swe,M,39,Shan-Ni & Northern Shan Ethnics Solidarity Party (S.N.S.P),35365,503,35868,459,14,473,0.0132,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Mar Khar@U G Mar Khar23FALSE,Myanmar,3483,State and Region Hluttaw,Kachin ,MMR001,MMR001001,Myitkyina,,,S/R_Kachin_Myitkyina (1),,88757,54327,5530,59857,0.6744,4085,2824,6909,U Mar Khar@U G Mar Khar,M,23,Kachin Democratic Party,48248,4700,52948,4203,301,4504,0.0851,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Shan Gam Naw Yein3FALSE,Myanmar,3484,State and Region Hluttaw,Kachin ,MMR001,MMR001016,Machanbaw,,,S/R_Kachin_Machanbaw (2),,2624,1707,341,2048,0.7805,117,0,117,U Shan Gam Naw Yein,M,3,National Unity Party (NUP),1648,283,1931,321,135,456,0.2361,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Yaw Si1TRUE,Myanmar,3485,State and Region Hluttaw,Kachin ,MMR001,MMR001014,Puta-O,,,S/R_Kachin_Puta-O (1),,20674,12203,2256,14459,0.6994,2009,56,2065,U Yaw Si,M,1,National League for Democracy (NLD),11170,1224,12394,5405,341,5746,0.4636,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,1,National League for Democracy (NLD),M,17636,68,Farmer,Own business,0,Grade (8),B.E.M.S,B.E.M.S,Middle School,Lisu,Christian,"Marmulae Village Track, Puta-O Township",Rural,U Yar Yu,Lisu,Christian,Daw Phu Ai P,Lisu,Christian
State and Region HluttawKachin StateU M Zaw Nan23FALSE,Myanmar,3486,State and Region Hluttaw,Kachin ,MMR001,MMR001010,Bhamo,,,S/R_Kachin_Bhamo (1),,46010,31147,3010,34157,0.7424,2273,20,2293,U M Zaw Nan,M,23,Kachin Democratic Party,29156,2708,31864,999,37,1036,0.0325,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Thein Zaw Oo7FALSE,Myanmar,3487,State and Region Hluttaw,Kachin ,MMR001,MMR001004,Tanai,,,S/R_Kachin_Tanai (1),,12424,5425,1387,6812,0.5483,153,2,155,U Thein Zaw Oo,M,7,National Democratic Force (NDF),5347,1310,6657,163,12,175,0.0263,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Win Nyunt1TRUE,Myanmar,3488,State and Region Hluttaw,Kachin ,MMR001,MMR001002,Waingmaw,,,S/R_Kachin_Waingmaw (1),,32984,20303,1334,21637,0.656,1415,0,1415,U Win Nyunt,M,1,National League for Democracy (NLD),18905,1317,20222,5748,288,6036,0.2985,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,1,National League for Democracy (NLD),M,23285,53,Myanmar Shwe Thamadi Constrution Company,Not Identifiable,0,B.E(Electronic),B.E,Bachelor,Bachelor,Bamar,Buddhist,Yuzana Ward,Urban,U Nyunt Shwe,Bamar,Buddhism,Daw Hla Myint,Bamar,Buddhism
State and Region HluttawKachin StateU Law Aung21FALSE,Myanmar,3480,State and Region Hluttaw,Kachin ,MMR001,MMR001012,Momauk,,,S/R_Kachin_Momauk (2),,26225,17218,1479,18697,0.7129,934,63,997,U Law Aung,M,21,The Kachin National Congress for Democracy,16364,1336,17700,443,16,459,0.0259,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Zaw Latt12FALSE,Myanmar,3582,State and Region Hluttaw,Kachin ,MMR001,MMR001002,Waingmaw,,,S/R_Kachin_Waingmaw (1),,32984,20303,1334,21637,0.656,1415,0,1415,U Zaw Latt,M,12,Kachin State Democracy Party,18905,1317,20222,663,25,688,0.034,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Win Zaw15FALSE,Myanmar,3565,State and Region Hluttaw,Kachin ,MMR001,MMR001011,Shwegu,,,S/R_Kachin_Shwegu (2),,27026,19886,2103,21989,0.8136,1071,0,1071,U Win Zaw,M,15,Tai-Leng Nationalities Development Party (T.N.D.P),19886,1032,20918,143,11,154,0.0074,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Kwan San2FALSE,Myanmar,3632,State and Region Hluttaw,Kachin ,MMR001,MMR001013,Mansi,,,S/R_Kachin_Mansi (1),,18859,14745,377,15122,0.8018,871,13,884,U Kwan San,M,2,Union Solidarity and Development Party (USDP),13874,364,14238,4161,162,4323,0.3036,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU G Lan Yaw21FALSE,Myanmar,3577,State and Region Hluttaw,Kachin ,MMR001,MMR001005,Chipwi,,,S/R_Kachin_Chipwi (2),,5275,3579,704,4283,0.8119,464,0,464,U G Lan Yaw,M,21,The Kachin National Congress for Democracy,3347,472,3819,101,8,109,0.0285,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateDaw Day Li Yar26FALSE,Myanmar,3506,State and Region Hluttaw,Kachin ,MMR001,MMR001002,Waingmaw,,,S/R_Kachin_Waingmaw (2),,31085,19578,1299,20877,0.6716,579,0,579,Daw Day Li Yar,F,26,Lisu National Development Party (L.N.D.P),19048,1250,20298,1892,61,1953,0.0962,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU Na Cho Khaung Daung34FALSE,Myanmar,3578,State and Region Hluttaw,Kachin ,MMR001,MMR001006,Tsawlaw,,,S/R_Kachin_Tsawlaw (2),,2170,1373,290,1663,0.7664,57,0,57,U Na Cho Khaung Daung,M,34,Lhaovo National Unity and Development Party (LNUDP),1329,277,1606,51,3,54,0.0336,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateDaw Khin Htay Yin8FALSE,Myanmar,3579,State and Region Hluttaw,Kachin ,MMR001,MMR001007,Mohnyin,,,S/R_Kachin_Mohnyin (2),,67446,38515,4593,43108,0.6391,1703,61,1764,Daw Khin Htay Yin,F,8,Shan Nationalities Democratic Party (SNDP),37632,3712,41344,1132,101,1233,0.0298,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawKachin StateU In Nan Gam1FALSE,Myanmar,3575,State and Region Hluttaw,Kachin ,MMR001,MMR001016,Machanbaw,,,S/R_Kachin_Machanbaw (2),,2624,1707,341,2048,0.7805,117,0,117,U In Nan Gam,M,1,National League for Democracy (NLD),1648,283,1931,396,59,455,0.2356,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
